student_id,department,academic_year
ag946,BIOL,2015 - 2016
pd186,PHAS,2015 - 2016
sh767,GERM,2015 - 2016
md355,EDUC,2015 - 2016
jh457,EEGS,2015 - 2016
am112,SOAN,2015 - 2016
lc183,SOAN,2015 - 2016
lw600,PHAS,2015 - 2016
ds733,RMLL,2015 - 2016
mh320,POSC,2015 - 2016
km252,POSC,2015 - 2016
mb605,SOAN,2015 - 2016
cj174,CLAS,2015 - 2016
kr742,EDUC,2015 - 2016
ch464,ECON,2015 - 2016
dr919,RELG,2015 - 2016
rh228,EDUC,2015 - 2016
bb928,ENGL,2015 - 2016
jd194,ARTS,2015 - 2016
mw689,CLAS,2015 - 2016
ap745,HIST,2015 - 2016
kp764,PBSC,2015 - 2016
mj535,THEA,2015 - 2016
kd566,COSC,2015 - 2016
df643,MATH,2015 - 2016
ba256,PHIL,2015 - 2016
ja998,RMLL,2015 - 2016
jt720,GEOG,2015 - 2016
bh154,HIST,2015 - 2016
rk970,ENGL,2015 - 2016
dk922,RELG,2015 - 2016
dn404,BIOL,2015 - 2016
ss942,BIOL,2015 - 2016
jt202,EALL,2015 - 2016
wm248,EEGS,2015 - 2016
aw106,EDUC,2015 - 2016
tf592,RELG,2015 - 2016
ks922,WRIT,2015 - 2016
pw993,ARTS,2015 - 2016
ca926,SOAN,2015 - 2016
sb383,POSC,2015 - 2016
er242,CLAS,2015 - 2016
va382,CLAS,2015 - 2016
bm789,RMLL,2015 - 2016
yc806,ECON,2015 - 2016
kd996,ARTS,2015 - 2016
tl910,PHAS,2015 - 2016
jw392,MUSI,2015 - 2016
cr885,CLAS,2015 - 2016
mm577,SOAN,2015 - 2016
jw752,EALL,2015 - 2016
nr823,COSC,2015 - 2016
eg463,ARTS,2015 - 2016
lf512,ENGL,2015 - 2016
bb187,ARTS,2015 - 2016
tb155,SOAN,2015 - 2016
hm735,SOAN,2015 - 2016
rb218,GERM,2015 - 2016
jt916,ENGL,2015 - 2016
et571,RMLL,2015 - 2016
jv136,POSC,2015 - 2016
mh131,PHIL,2015 - 2016
sh164,MATH,2015 - 2016
jb225,THEA,2015 - 2016
rd826,BIOL,2015 - 2016
gm469,ARTS,2015 - 2016
cj965,MATH,2015 - 2016
lw825,ARTS,2015 - 2016
aa438,EEGS,2015 - 2016
tr279,EDUC,2015 - 2016
bl713,EEGS,2015 - 2016
mw989,PHIL,2015 - 2016
at598,ENST,2015 - 2016
eo444,HIST,2015 - 2016
mc785,ARTS,2015 - 2016
bd353,SOAN,2015 - 2016
kr359,POSC,2015 - 2016
mt337,MATH,2015 - 2016
ga299,WRIT,2015 - 2016
bs184,ENST,2015 - 2016
pm242,HIST,2015 - 2016
ls167,RELG,2015 - 2016
bf962,PBSC,2015 - 2016
cr789,MATH,2015 - 2016
jt764,ARTS,2015 - 2016
ng191,PHIL,2015 - 2016
jm293,EALL,2015 - 2016
ah176,BIOL,2015 - 2016
bm626,WRIT,2015 - 2016
ln894,ECON,2015 - 2016
mr808,COSC,2015 - 2016
eg514,SOAN,2015 - 2016
jd228,ECON,2015 - 2016
ag588,HIST,2015 - 2016
tp409,COSC,2015 - 2016
kd211,EDUC,2015 - 2016
ds960,POSC,2015 - 2016
at770,EEGS,2015 - 2016
db255,ENGL,2015 - 2016
ap963,ARTS,2015 - 2016
em943,PHAS,2015 - 2016
sc252,RMLL,2015 - 2016
hw628,PBSC,2015 - 2016
ap811,GEOG,2015 - 2016
jc806,HIST,2015 - 2016
da631,GEOG,2015 - 2016
cm908,CLAS,2015 - 2016
jg184,PHAS,2015 - 2016
sl695,EDUC,2015 - 2016
tc715,ENGL,2015 - 2016
sh967,BIOL,2015 - 2016
to765,SOAN,2015 - 2016
aw438,MELL,2015 - 2016
jh656,COSC,2015 - 2016
db803,ARTS,2015 - 2016
as269,POSC,2015 - 2016
am405,CLAS,2015 - 2016
dt127,POSC,2015 - 2016
ma136,GERM,2015 - 2016
df618,SOAN,2015 - 2016
eh542,RELG,2015 - 2016
jh624,RMLL,2015 - 2016
jm561,MATH,2015 - 2016
rs973,RMLL,2015 - 2016
ts788,ARTS,2015 - 2016
cf198,EDUC,2015 - 2016
jr151,POSC,2015 - 2016
mm313,PBSC,2015 - 2016
bl222,COSC,2015 - 2016
rh774,RELG,2015 - 2016
cm927,ARTS,2015 - 2016
tf138,ECON,2015 - 2016
rc458,GERM,2015 - 2016
cz951,PBSC,2015 - 2016
tb789,CHEM,2015 - 2016
ch835,HIST,2015 - 2016
lr207,ARTS,2015 - 2016
ap996,EDUC,2015 - 2016
dr300,MELL,2015 - 2016
rt675,POSC,2015 - 2016
dw520,SOAN,2015 - 2016
tw193,MELL,2015 - 2016
mc475,HIST,2015 - 2016
va216,ECON,2015 - 2016
ac134,PBSC,2015 - 2016
ar668,HIST,2015 - 2016
pz495,SOAN,2015 - 2016
ac124,COSC,2015 - 2016
pb165,WRIT,2015 - 2016
th651,SOAN,2015 - 2016
iw865,EALL,2015 - 2016
bf512,HIST,2015 - 2016
jm144,HIST,2015 - 2016
gg261,THEA,2015 - 2016
db732,CHEM,2015 - 2016
jp951,HIST,2015 - 2016
rl507,POSC,2015 - 2016
sd717,EEGS,2015 - 2016
lr623,PBSC,2015 - 2016
je687,ARTS,2015 - 2016
vw520,SOAN,2015 - 2016
