student_id,academic_year,year,department
th232,2015 - 2016,3,PHAS
sb478,2015 - 2016,2,ENST
jj456,2015 - 2016,2,ARTS
ma853,2015 - 2016,2,CHEM
nh496,2015 - 2016,2,PHAS
df378,2015 - 2016,2,COSC
dh574,2015 - 2016,3,ENGL
jj981,2015 - 2016,2,ARTS
ag313,2015 - 2016,3,POSC
nr135,2015 - 2016,2,RMLL
mt985,2015 - 2016,4,HIST
ap934,2015 - 2016,4,GERM
ks139,2015 - 2016,3,POSC
am188,2015 - 2016,4,POSC
tw443,2015 - 2016,4,EEGS
ag735,2015 - 2016,4,EDUC
ar901,2015 - 2016,2,ARTS
ss820,2015 - 2016,2,ARTS
th343,2015 - 2016,2,MUSI
as807,2015 - 2016,3,EEGS
ab744,2015 - 2016,3,ARTS
kd872,2015 - 2016,3,GERM
bb152,2015 - 2016,4,EDUC
eh652,2015 - 2016,2,ARTS
cs483,2015 - 2016,2,GERM
se620,2015 - 2016,3,SOAN
al631,2015 - 2016,4,RELG
bs371,2015 - 2016,2,EDUC
kl858,2015 - 2016,1,GEOG
jl889,2015 - 2016,3,POSC
rt814,2015 - 2016,3,ENST
bl667,2015 - 2016,1,ECON
dg774,2015 - 2016,1,MELL
dw634,2015 - 2016,3,ENGL
ng718,2015 - 2016,2,RMLL
as817,2015 - 2016,1,BIOL
dw191,2015 - 2016,3,PBSC
mr116,2015 - 2016,2,WRIT
as368,2015 - 2016,3,SOAN
ms788,2015 - 2016,3,HIST
mp447,2015 - 2016,1,CLAS
cc393,2015 - 2016,1,EALL
ad330,2015 - 2016,1,BIOL
mg742,2015 - 2016,1,ARTS
jk103,2015 - 2016,2,THEA
tw505,2015 - 2016,3,SOAN
rj528,2015 - 2016,1,COSC
dc687,2015 - 2016,1,PBSC
aj730,2015 - 2016,2,ENGL
ms161,2015 - 2016,3,ENGL
jm131,2015 - 2016,1,EDUC
cw554,2015 - 2016,1,HIST
mg658,2015 - 2016,3,RELG
ms532,2015 - 2016,1,ARTS
md855,2015 - 2016,2,PBSC
cl764,2015 - 2016,2,CHEM
ah977,2015 - 2016,2,CLAS
mn631,2015 - 2016,2,CHEM
pt177,2015 - 2016,1,ECON
jb586,2015 - 2016,1,ARTS
aj862,2015 - 2016,1,POSC
do688,2015 - 2016,1,PHAS
jk800,2015 - 2016,2,HIST
mw790,2015 - 2016,2,CLAS
ar172,2015 - 2016,1,PHAS
tt219,2015 - 2016,2,EALL
hm442,2015 - 2016,2,ENST
jg617,2015 - 2016,2,ARTS
cc387,2015 - 2016,2,RELG
jv596,2015 - 2016,2,GERM
go358,2015 - 2016,1,ECON
ba817,2015 - 2016,2,POSC
mw970,2015 - 2016,1,ECON
tp469,2015 - 2016,2,SOAN
rs646,2015 - 2016,2,HIST
sb285,2015 - 2016,2,RMLL
kb783,2015 - 2016,2,RELG
br284,2015 - 2016,1,POSC
vk856,2015 - 2016,2,HIST
tt292,2015 - 2016,2,BIOL
tt195,2015 - 2016,1,EDUC
mr349,2015 - 2016,1,PHIL
lg980,2015 - 2016,1,ECON
bc870,2015 - 2016,1,ENGL
ab906,2015 - 2016,1,EEGS
mk692,2015 - 2016,1,RELG
bs448,2015 - 2016,1,ECON
rc838,2015 - 2016,1,SOAN
wg279,2015 - 2016,1,HIST
pp395,2015 - 2016,1,ECON
ed122,2015 - 2016,1,HIST
jo226,2015 - 2016,1,ARTS
yn548,2015 - 2016,1,CLAS
rk714,2015 - 2016,1,EDUC
mh377,2015 - 2016,1,EDUC
jc244,2015 - 2016,1,ENST
al309,2015 - 2016,1,SOAN
tw199,2015 - 2016,1,BIOL
hv478,2015 - 2016,1,GERM
jj974,2015 - 2016,1,BIOL
ti468,2015 - 2016,1,HIST
am512,2015 - 2016,1,WRIT
tp867,2015 - 2016,1,WRIT
dw374,2015 - 2016,1,ENST
gm588,2015 - 2016,1,ENGL
rd112,2015 - 2016,1,HIST
kw679,2015 - 2016,1,RMLL
rj541,2015 - 2016,1,BIOL
jt500,2015 - 2016,1,SOAN
js392,2015 - 2016,1,BIOL
cb254,2015 - 2016,1,ENGL
cd680,2015 - 2016,1,SOAN
br735,2015 - 2016,1,EEGS
ce487,2015 - 2016,1,PHIL
jb277,2015 - 2016,1,GEOG
bw593,2015 - 2016,1,PHIL
sa741,2015 - 2016,1,RMLL
rs355,2015 - 2016,1,CHEM
jc832,2015 - 2016,1,EDUC
eg318,2015 - 2016,1,GEOG
js502,2015 - 2016,1,SOAN
af976,2015 - 2016,1,PHIL
pl134,2015 - 2016,1,RMLL
ah830,2015 - 2016,1,ECON
ir189,2015 - 2016,1,HIST
mb995,2015 - 2016,1,MUSI
lm327,2015 - 2016,1,ENGL
rm277,2015 - 2016,1,ECON
ss585,2015 - 2016,1,ENGL
sv260,2015 - 2016,1,HIST
